"","phase","year","plot","plot_num","plot_dir","rotation","corn","crop","variety","all_corn","yield_bush","yield_ton","treated","treatment","manure","lime","nit","p205","k20","stover","population","plant_date","plant_day","soil_sample","damage","notes"
"1",1,1888,"3NA",3,"NW",1,TRUE,"CC","Burr's White",FALSE,54.3,NA,FALSE,"none",NA,NA,NA,NA,NA,NA,NA,"1888-05-04",125,FALSE,NA,NA
"2",1,1888,"3NB",3,"NW",1,TRUE,"CC","Burr's White",FALSE,54.3,NA,FALSE,"none",NA,NA,NA,NA,NA,NA,NA,"1888-05-04",125,FALSE,NA,NA
"3",1,1888,"3NC",3,"NE",1,TRUE,"CC","Burr's White",FALSE,54.3,NA,FALSE,"none",NA,NA,NA,NA,NA,NA,NA,"1888-05-04",125,FALSE,NA,NA
"4",1,1888,"3ND",3,"NE",1,TRUE,"CC","Burr's White",FALSE,54.3,NA,FALSE,"none",NA,NA,NA,NA,NA,NA,NA,"1888-05-04",125,FALSE,NA,NA
"5",1,1888,"3SA",3,"SW",1,TRUE,"CC","Burr's White",FALSE,54.3,NA,FALSE,"none",NA,NA,NA,NA,NA,NA,NA,"1888-05-04",125,FALSE,NA,NA
"6",1,1888,"3SB",3,"SW",1,TRUE,"CC","Burr's White",FALSE,54.3,NA,FALSE,"none",NA,NA,NA,NA,NA,NA,NA,"1888-05-04",125,FALSE,NA,NA
"7",1,1888,"3SC",3,"SE",1,TRUE,"CC","Burr's White",FALSE,54.3,NA,FALSE,"none",NA,NA,NA,NA,NA,NA,NA,"1888-05-04",125,FALSE,NA,NA
"8",1,1888,"3SD",3,"SE",1,TRUE,"CC","Burr's White",FALSE,54.3,NA,FALSE,"none",NA,NA,NA,NA,NA,NA,NA,"1888-05-04",125,FALSE,NA,NA
"9",1,1888,"4NA",4,"NW",2,TRUE,"C","Burr's White",FALSE,49.5,NA,FALSE,"none",NA,NA,NA,NA,NA,NA,NA,"1888-05-04",125,FALSE,NA,NA
"10",1,1888,"4NB",4,"NW",2,TRUE,"C","Burr's White",FALSE,49.5,NA,FALSE,"none",NA,NA,NA,NA,NA,NA,NA,"1888-05-04",125,FALSE,NA,NA
"11",1,1888,"4NC",4,"NE",2,TRUE,"C","Burr's White",FALSE,49.5,NA,FALSE,"none",NA,NA,NA,NA,NA,NA,NA,"1888-05-04",125,FALSE,NA,NA
"12",1,1888,"4ND",4,"NE",2,TRUE,"C","Burr's White",FALSE,49.5,NA,FALSE,"none",NA,NA,NA,NA,NA,NA,NA,"1888-05-04",125,FALSE,NA,NA
"13",1,1888,"4SA",4,"SW",2,TRUE,"C","Burr's White",FALSE,49.5,NA,FALSE,"none",NA,NA,NA,NA,NA,NA,NA,"1888-05-04",125,FALSE,NA,NA
"14",1,1888,"4SB",4,"SW",2,TRUE,"C","Burr's White",FALSE,49.5,NA,FALSE,"none",NA,NA,NA,NA,NA,NA,NA,"1888-05-04",125,FALSE,NA,NA
"15",1,1888,"4SC",4,"SE",2,TRUE,"C","Burr's White",FALSE,49.5,NA,FALSE,"none",NA,NA,NA,NA,NA,NA,NA,"1888-05-04",125,FALSE,NA,NA
"16",1,1888,"4SD",4,"SE",2,TRUE,"C","Burr's White",FALSE,49.5,NA,FALSE,"none",NA,NA,NA,NA,NA,NA,NA,"1888-05-04",125,FALSE,NA,NA
